yolov3-voc
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
384
Loaded: 0.000029 seconds
Region 82 Avg IOU: 0.158037, Class: 0.363232, Obj: 0.620896, No Obj: 0.474111, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495426, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469995, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.240254, Class: 0.389567, Obj: 0.619741, No Obj: 0.473171, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494861, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468885, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.287593, Class: 0.357988, Obj: 0.743406, No Obj: 0.473031, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494891, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472418, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.261000, Class: 0.211429, Obj: 0.478338, No Obj: 0.473202, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495653, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468864, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.124405, Class: 0.437641, Obj: 0.619362, No Obj: 0.474940, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495725, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469156, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.172455, Class: 0.225674, Obj: 0.435271, No Obj: 0.477071, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494165, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470190, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.222486, Class: 0.278784, Obj: 0.455289, No Obj: 0.473985, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493053, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471161, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.219880, Class: 0.232153, Obj: 0.667195, No Obj: 0.474473, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495316, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470041, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.211484, Class: 0.483910, Obj: 0.715533, No Obj: 0.475432, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495416, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468652, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.189840, Class: 0.242742, Obj: 0.478087, No Obj: 0.474283, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495326, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468893, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.191388, Class: 0.288524, Obj: 0.475844, No Obj: 0.473423, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494412, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470809, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.136755, Class: 0.311459, Obj: 0.661313, No Obj: 0.475068, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495982, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470455, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.231577, Class: 0.321493, Obj: 0.542873, No Obj: 0.475143, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494218, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470805, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.280343, Class: 0.292597, Obj: 0.655161, No Obj: 0.475356, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495574, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469715, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.091617, Class: 0.199955, Obj: 0.656422, No Obj: 0.473731, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495273, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471011, .5R: -nan, .75R: -nan,  count: 0
3: 802.904846, 802.930420 avg, 0.000000 rate, 3.727439 seconds, 192 images
Loaded: 0.000035 seconds
Region 82 Avg IOU: 0.370104, Class: 0.326368, Obj: 0.571682, No Obj: 0.473201, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494562, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470026, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.221047, Class: 0.290825, Obj: 0.733709, No Obj: 0.475458, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495093, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471369, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.190263, Class: 0.243687, Obj: 0.718522, No Obj: 0.473641, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494967, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469070, .5R: -nan, .75R: -nan,  count: 0
